WKT,gid,lon,lat
"POLYGON ((103.610842 1.243788,103.612342 1.243788,103.613092 1.242489,103.612342 1.24119,103.610842 1.24119,103.610092 1.242489,103.610842 1.243788))",590003,103.611592000000000,1.242487000000000
"POLYGON ((103.847092 1.465924,103.848592 1.465924,103.849342 1.464625,103.848592 1.463326,103.847092 1.463326,103.846342 1.464625,103.847092 1.465924))",2300108,103.847842000000000,1.464616000000010
"POLYGON ((103.615342 1.243788,103.616842 1.243788,103.617592 1.242489,103.616842 1.24119,103.615342 1.24119,103.614592 1.242489,103.615342 1.243788))",590005,103.616091999999990,1.242487000000000
"POLYGON ((103.619842 1.243788,103.621342 1.243788,103.622092 1.242489,103.621342 1.24119,103.619842 1.24119,103.619092 1.242489,103.619842 1.243788))",590007,103.620592000000000,1.242487000000000
"POLYGON ((103.624342 1.243788,103.625842 1.243788,103.626592 1.242489,103.625842 1.24119,103.624342 1.24119,103.623592 1.242489,103.624342 1.243788))",590009,103.625092000000000,1.242487000000000
"POLYGON ((103.628842 1.243788,103.630342 1.243788,103.631092 1.242489,103.630342 1.24119,103.628842 1.24119,103.628092 1.242489,103.628842 1.243788))",590011,103.629592000000000,1.242487000000000
"POLYGON ((103.633342 1.243788,103.634842 1.243788,103.635592 1.242489,103.634842 1.24119,103.633342 1.24119,103.632592 1.242489,103.633342 1.243788))",590013,103.634092000000000,1.242487000000000
"POLYGON ((103.637842 1.243788,103.639342 1.243788,103.640092 1.242489,103.639342 1.24119,103.637842 1.24119,103.637092 1.242489,103.637842 1.243788))",590015,103.638592000000000,1.242487000000000
"POLYGON ((104.033842 1.402271,104.035342 1.402271,104.036092 1.400972,104.035342 1.399673,104.033842 1.399673,104.033092 1.400972,104.033842 1.402271))",1810191,104.034592000000000,1.400965000000000
"POLYGON ((103.642342 1.243788,103.643842 1.243788,103.644592 1.242489,103.643842 1.24119,103.642342 1.24119,103.641592 1.242489,103.642342 1.243788))",590017,103.643092000000000,1.242487000000000
"POLYGON ((103.646842 1.243788,103.648342 1.243788,103.649092 1.242489,103.648342 1.24119,103.646842 1.24119,103.646092 1.242489,103.646842 1.243788))",590019,103.647592000000000,1.242487000000000
"POLYGON ((103.651342 1.243788,103.652842 1.243788,103.653592 1.242489,103.652842 1.24119,103.651342 1.24119,103.650592 1.242489,103.651342 1.243788))",590021,103.652092000000000,1.242487000000000
"POLYGON ((103.655842 1.243788,103.657342 1.243788,103.658092 1.242489,103.657342 1.24119,103.655842 1.24119,103.655092 1.242489,103.655842 1.243788))",590023,103.656592000000000,1.242487000000000
"POLYGON ((103.660342 1.243788,103.661842 1.243788,103.662592 1.242489,103.661842 1.24119,103.660342 1.24119,103.659592 1.242489,103.660342 1.243788))",590025,103.661092000000000,1.242487000000000
"POLYGON ((103.664842 1.243788,103.666342 1.243788,103.667092 1.242489,103.666342 1.24119,103.664842 1.24119,103.664092 1.242489,103.664842 1.243788))",590027,103.665592000000000,1.242487000000000
"POLYGON ((103.669342 1.243788,103.670842 1.243788,103.671592 1.242489,103.670842 1.24119,103.669342 1.24119,103.668592 1.242489,103.669342 1.243788))",590029,103.670092000000000,1.242487000000000
"POLYGON ((103.673842 1.243788,103.675342 1.243788,103.676092 1.242489,103.675342 1.24119,103.673842 1.24119,103.673092 1.242489,103.673842 1.243788))",590031,103.674592000000000,1.242487000000000
"POLYGON ((103.678342 1.243788,103.679842 1.243788,103.680592 1.242489,103.679842 1.24119,103.678342 1.24119,103.677592 1.242489,103.678342 1.243788))",590033,103.679092000000000,1.242487000000000
"POLYGON ((103.682842 1.243788,103.684342 1.243788,103.685092 1.242489,103.684342 1.24119,103.682842 1.24119,103.682092 1.242489,103.682842 1.243788))",590035,103.683592000000000,1.242487000000000
"POLYGON ((103.687342 1.243788,103.688842 1.243788,103.689592 1.242489,103.688842 1.24119,103.687342 1.24119,103.686592 1.242489,103.687342 1.243788))",590037,103.688092000000000,1.242487000000000
